City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Mahebourg,MU,2020-04-29 19:52:33,-20.41,57.7,73.4,83,75,10.29,Rain,0,0
1,Butaritari,KI,2020-04-29 19:52:33,3.07,172.79,82.44,81,100,12.64,Clouds,0,0
2,Rikitea,PF,2020-04-29 19:52:33,-23.12,-134.97,79.56,81,47,15.41,Rain,0,0
3,Clovis,US,2020-04-29 19:52:33,36.83,-119.7,89.01,33,75,5.82,Clouds,0,0
4,Cape Town,ZA,2020-04-29 19:52:33,-33.93,18.42,59.0,62,53,4.7,Clouds,0,0
5,Albany,US,2020-04-29 19:52:06,42.6,-73.97,61.0,36,90,12.75,Clouds,0,0
6,Beringovskiy,RU,2020-04-29 19:52:34,63.05,179.32,26.01,97,98,3.65,Clouds,0,0
7,Port Elizabeth,ZA,2020-04-29 19:50:06,-33.92,25.57,59.05,81,0,7.02,Clear,0,0
8,Quelimane,MZ,2020-04-29 19:52:34,-17.88,36.89,73.4,88,20,3.36,Clouds,0,0
9,Provideniya,RU,2020-04-29 19:52:34,64.38,-173.3,21.2,73,90,8.95,Clouds,0,0
10,Esperance,AU,2020-04-29 19:52:34,-33.87,121.9,53.6,71,90,8.01,Clouds,0,0
11,Punta Arenas,CL,2020-04-29 19:52:35,-53.15,-70.92,44.6,81,75,4.7,Rain,0,0
12,Mount Isa,AU,2020-04-29 19:52:35,-20.73,139.5,69.8,49,40,21.92,Clouds,0,0
13,Yellowknife,CA,2020-04-29 19:50:01,62.46,-114.35,53.6,34,75,4.7,Clouds,0,0
14,Villamontes,BO,2020-04-29 19:52:35,-21.25,-63.5,75.94,53,93,5.77,Clouds,0,0
15,Businga,CD,2020-04-29 19:52:35,3.33,20.88,75.31,75,8,1.25,Rain,0,0
16,Mar Del Plata,AR,2020-04-29 19:52:35,-38.0,-57.56,64.0,63,20,17.22,Clouds,0,0
17,Cidreira,BR,2020-04-29 19:52:35,-30.18,-50.21,71.76,79,90,6.02,Clouds,0,0
18,San Patricio,MX,2020-04-29 19:52:36,19.22,-104.7,82.4,74,5,7.94,Clear,0,0
19,Bambous Virieux,MU,2020-04-29 19:52:36,-20.34,57.76,75.99,83,75,10.29,Rain,0,0
20,Tasiilaq,GL,2020-04-29 19:52:36,65.61,-37.64,39.2,60,20,23.04,Clouds,0,0
21,Buraydah,SA,2020-04-29 19:52:36,26.33,43.98,82.4,32,20,9.17,Clouds,0,0
22,Ust-Nera,RU,2020-04-29 19:52:36,64.57,143.2,21.34,88,87,5.57,Clouds,0,0
