City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Avarua,CK,2020-04-20 21:10:58,-21.21,-159.78,82.4,74,4,16.11
1,Vaini,TO,2020-04-20 21:11:00,-21.2,-175.2,78.8,83,75,8.05
2,Sinnamary,GF,2020-04-20 21:13:33,5.38,-52.95,79.79,83,100,8.08
3,Marsh Harbour,BS,2020-04-20 21:13:33,26.54,-77.06,83.86,68,100,22.88
4,Butaritari,KI,2020-04-20 21:10:53,3.07,172.79,82.44,79,100,13.15
5,Banepa,NP,2020-04-20 21:13:33,27.63,85.52,59.0,77,75,2.24
6,Rikitea,PF,2020-04-20 21:10:52,-23.12,-134.97,76.05,74,29,4.76
7,Ponta Pora,BR,2020-04-20 21:13:34,-22.54,-55.73,78.8,57,20,4.7
8,Carmo Do Paranaiba,BR,2020-04-20 21:13:34,-19.0,-46.32,69.01,100,26,5.06
9,Oistins,BB,2020-04-20 21:12:31,13.07,-59.53,77.0,78,75,18.34
10,Longyearbyen,SJ,2020-04-20 21:10:56,78.22,15.64,23.0,57,40,33.33
11,College,US,2020-04-20 21:13:34,64.86,-147.8,39.99,100,90,3.36
12,Qaanaaq,GL,2020-04-20 21:10:52,77.48,-69.36,10.53,85,52,6.64
13,Jalu,LY,2020-04-20 21:12:47,29.03,21.55,80.46,16,0,16.35
14,Cape Town,ZA,2020-04-20 21:10:06,-33.93,18.42,60.01,93,75,2.24
15,Nadym,RU,2020-04-20 21:13:35,65.53,72.52,33.13,96,96,8.14
16,Guhagar,IN,2020-04-20 21:13:35,17.48,73.19,83.95,65,51,4.43
17,Bredasdorp,ZA,2020-04-20 21:10:52,-34.53,20.04,62.6,63,100,2.24
18,Vitim,RU,2020-04-20 21:13:35,59.45,112.56,18.05,93,8,1.1
19,Upernavik,GL,2020-04-20 21:10:54,72.79,-56.15,30.45,90,99,7.36
20,Port-Gentil,GA,2020-04-20 21:11:41,-0.72,8.78,77.0,94,20,10.54
21,Punta Arenas,CL,2020-04-20 21:10:59,-53.15,-70.92,50.0,66,75,31.09
22,Kapaa,US,2020-04-20 21:09:53,22.08,-159.32,78.8,69,1,11.41
23,Kerema,PG,2020-04-20 21:11:51,-7.96,145.78,77.95,87,56,4.23
24,Eusebio,BR,2020-04-20 21:13:37,-3.89,-38.45,84.2,70,20,5.82
25,Victoria,HK,2020-04-20 21:11:47,22.29,114.16,77.0,83,40,8.05
26,Talnakh,RU,2020-04-20 21:11:03,69.49,88.4,32.0,92,90,20.13
27,Mahebourg,MU,2020-04-20 21:11:03,-20.41,57.7,75.2,88,75,12.75
28,Puerto Ayora,EC,2020-04-20 21:11:40,-0.74,-90.35,86.0,66,75,19.46
29,Nikolskoye,RU,2020-04-20 21:10:59,59.7,30.79,42.01,80,94,4.47
30,Jilib,SO,2020-04-20 21:13:38,0.49,42.79,79.14,85,100,7.76
31,Mount Gambier,AU,2020-04-20 21:12:03,-37.83,140.77,48.2,93,75,10.29
32,Valle De Allende,MX,2020-04-20 21:13:38,26.93,-105.4,88.14,6,2,5.68
33,Mehamn,NO,2020-04-20 21:12:33,71.04,27.85,39.2,60,75,28.86
34,Ushuaia,AR,2020-04-20 21:10:54,-54.8,-68.3,44.6,81,75,33.33
35,Mamlyutka,KZ,2020-04-20 21:13:39,54.94,68.54,51.6,83,100,7.27
36,Namibe,AO,2020-04-20 21:13:39,-15.2,12.15,75.4,71,23,4.29
37,Southbridge,US,2020-04-20 21:12:30,42.08,-72.03,53.01,31,1,6.06
38,Bireun,ID,2020-04-20 21:13:39,5.2,96.7,79.77,77,13,4.32
