City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mahebourg,MU,73.4,Rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
1,Butaritari,KI,82.44,Clouds,3.07,172.79,Isles Sunset Lodge
2,Rikitea,PF,79.56,Rain,-23.12,-134.97,Pension Maro'i
3,Clovis,US,89.01,Clouds,36.83,-119.7,"Homewood Suites by Hilton Fresno Airport/Clovis, CA"
4,Cape Town,ZA,59.0,Clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
5,Albany,US,61.0,Clouds,42.6,-73.97,
7,Port Elizabeth,ZA,59.05,Clear,-33.92,25.57,39 On Nile Guest House
8,Quelimane,MZ,73.4,Clouds,-17.88,36.89,Hotel Flamingo
10,Esperance,AU,53.6,Clouds,-33.87,121.9,Hospitality Esperance
12,Mount Isa,AU,69.8,Clouds,-20.73,139.5,ibis Styles Mt Isa Verona
13,Yellowknife,CA,53.6,Clouds,62.46,-114.35,The Explorer Hotel
14,Villamontes,BO,75.94,Clouds,-21.25,-63.5,Hotel Raldes
15,Businga,CD,75.31,Rain,3.33,20.88,
16,Mar Del Plata,AR,64.0,Clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
17,Cidreira,BR,71.76,Clouds,-30.18,-50.21,Novomar Pousada e Turismo Ltda
18,San Patricio,MX,82.4,Clear,19.22,-104.7,Hotel Cabo Blanco
19,Bambous Virieux,MU,75.99,Rain,-20.34,57.76,Casa Tia Villa
21,Buraydah,SA,82.4,Clouds,26.33,43.98,Mövenpick Hotel Qassim
23,Lebu,CL,57.76,Clouds,-37.62,-73.65,Hostal Las Lilas
24,Guerrero Negro,MX,72.03,Clear,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
25,Villa Carlos Paz,AR,77.0,Clear,-31.42,-64.5,Monte Carlo
29,Kapaa,US,78.8,Clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
30,Souillac,MU,73.4,Rain,-20.52,57.52,Bils' Villa
31,Hilo,US,78.8,Clouds,19.73,-155.09,Hilo Hawaiian Hotel
32,Port Alfred,ZA,59.0,Clear,-33.59,26.89,The Halyards Hotel
33,San Cristobal,VE,89.6,Clouds,7.77,-72.22,Pirineos
34,Arraial Do Cabo,BR,78.8,Clear,-22.97,-42.03,Pousada Porto Praia
37,Touros,BR,78.8,Rain,-5.2,-35.46,INN NEW HORIZON
38,Ushuaia,AR,51.8,Clouds,-54.8,-68.3,Albatros Hotel
39,Nizwa,OM,87.39,Clouds,22.93,57.53,Orient Apartments
40,Santiago,CL,78.8,Clear,-33.46,-70.65,Hotel Panamericano
41,Gorontalo,ID,75.56,Clouds,0.54,123.06,Maqna Hotel by Prasanthi
42,Atuona,PF,81.91,Clear,-9.8,-139.03,Villa Enata
43,Puerto Ayora,EC,87.8,Clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
45,Bredasdorp,ZA,55.4,Clouds,-34.53,20.04,Bredasdorp Country Manor
47,Camacha,PT,66.2,Clouds,33.08,-16.33,Hotel Porto Santo & Spa
48,Bandarbeyla,SO,83.98,Clouds,9.49,50.81,REER XOOSHLE GROUP
49,Jamestown,US,64.4,Clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
50,Bluff,NZ,51.22,Clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
52,Luanda,AO,78.8,Clouds,-8.84,13.23,EPIC SANA Luanda
53,Shahreza,IR,56.05,Clouds,32.03,51.88,خوابگاه
54,Bombay,IN,86.0,Haze,19.01,72.85,Four Seasons Hotel Mumbai
55,Rawson,AR,59.95,Clouds,-43.3,-65.1,Hotel Punta León
57,Bengkulu,ID,77.13,Clouds,-3.8,102.27,Grage Hotel Bengkulu
58,Caluquembe,AO,59.59,Clear,-13.78,14.68,
61,Narsaq,GL,50.0,Clear,60.92,-46.05,Hotel Narsaq
62,Bubaque,GW,79.23,Clear,11.28,-15.83,Casa Dora
63,East London,ZA,63.09,Clear,-33.02,27.91,Tu Casa
64,Gafanha Da Encarnacao,PT,64.0,Rain,40.62,-8.73,Hotel Barra
65,Fortuna,US,66.99,Clouds,40.6,-124.16,Super 8 Fortuna
66,Georgetown,MY,82.0,Rain,5.41,100.34,Cititel Penang
67,Rio Gallegos,AR,51.8,Clouds,-51.62,-69.22,Hotel Santa Cruz
70,Ewa Beach,US,75.2,Rain,21.32,-158.01,Parkside By Gentry
72,Rawah,IQ,75.92,Clear,34.48,41.91,
73,Minna,NG,81.03,Clouds,9.61,6.56,Royal Park hotel & suites
74,Quime,BO,59.92,Rain,-16.98,-67.22,Hostal Colibri
75,Malartic,CA,51.8,Clouds,48.13,-78.13,Camping Regional De Malartic
76,Bordighera,IT,62.6,Clouds,43.78,7.66,Kaly
77,Tuburan,PH,81.88,Rain,6.64,122.27,Bohe Puno
78,Vaini,TO,75.2,Clouds,-21.2,-175.2,Keleti Beach Resort
80,Ponta Do Sol,PT,66.2,Clouds,32.67,-17.1,Hotel do Campo
83,Choma,ZM,66.61,Clouds,-16.81,26.95,Kamuboola Lodge
84,Kahului,US,80.6,Clouds,20.89,-156.47,Maui Seaside Hotel
85,Airai,TL,56.12,Clouds,-8.93,125.41,Juvinal Martin
